sort_order,id,word1,pronunciation,pos,difficulty,definition,has_icon
78,89876,perro,,n,1,"dog (# The species Canis familiaris (sometimes designated Canis lupus familiaris), domesticated for thousands of years and of highly variable appearance because of human breeding.)",yes
79,89933,persona,,n,1,person (an individual,
80,92069,poco,,adv,1,little (not much),
81,92070,poco,,determiner,1,"little, not much",
82,92071,poco,,n,1,little (a small amount),
83,94743,primero,,adj,1,"first, first up",
84,94744,primero,,adv,1,first,
85,94745,primero,,n,1,"former (in contrast to the latter), first, first one",
86,94932,problema,,n,1,"problem, issue, challenge (a difficulty or obstacle that has to be dealt with)",
87,105382,señor,,n,1,"mister, sir, lord (title conferred on a married or older male)",
88,105647,siempre,,adv,1,always,
89,107011,sol,,n,1,sun,
90,107121,solo,,adj,1,"alone, by oneself",
91,107122,solo,,adv,1,only,
92,109832,también,,adv,1,"also, too, as well",
93,110977,tener,,v,1,to have,
94,117297,ver,,v,1,"to see, to look at, to view (perceive)",
95,117366,verdad,,n,1,truth,
96,117825,vida,,n,1,life,
97,118507,vivir,,n,1,life,yes
98,118508,vivir,,v,1,to live,yes
99,12726,ahí,,adv,2,there: used to designate a place near the listener,
100,15972,antes,,prep,2,before (earlier than) (triggers the subjunctive in subordinate clauses),
101,19321,así,,adv,2,so,
102,20879,ayudar,,v,2,to help,
103,25616,buscar,,v,2,"to seek, search for, look for, try to find, to scour",
104,32997,ciudad,,n,2,city,yes
105,33127,claro,,interj,2,of course,
106,33128,claro,,n,2,clearing,
107,38073,creer,,v,2,"to think, to believe, to reckon, to be of the opinion",
108,40148,cómo,,interj,2,sorry? what? (expressing surprise or asking to repeat),
109,49032,encontrar,,v,2,"to find, encounter, come across",
110,49866,entender,,n,2,understanding,
111,49867,entender,,v,2,"to understand, to fathom",
112,49945,entonces,,adv,2,"then, therefore, so, thus",
113,51274,escuchar,,v,2,to listen,
114,57824,fuera,,adv,2,outside,
115,57825,fuera,,interj,2,"out!, get out!",
116,60465,grande,,n,2,"adult, grown-up",yes
117,61721,hacer,,n,2,"task, action",
118,62342,hecho,,adj,2,"done, completed",
119,64135,hombre,,interj,2,man!,yes
120,68608,ir,,v,2,to go (away from speaker and listener),
121,72822,llegar,,v,2,"to arrive, get (to)",
122,73391,lugar,,n,2,place,
123,75991,matar,,v,2,"to kill, slay",
124,79395,momento,,n,2,"moment, instant",
125,80066,morir,,v,2,to die,
126,87724,parte,,n,2,part,
127,89173,pensar,,v,2,"to think of, think that (have an opinion on)",
128,89402,perder,,v,2,to lose,
129,92103,poder,,n,2,"power (the ability to coerce, influence or control)",
130,92104,poder,,v,2,"to be able to, can",
131,97159,querer,,n,2,love,
132,97160,querer,,v,2,"to desire, to want, to want to",
133,102603,saber,,n,2,knowledge,
134,103024,salir,,v,2,"to go out, to leave, to depart, to head out",
135,104278,seguro,,adj,2,safe (free from danger),
136,104279,seguro,,adv,2,surely,
137,104280,seguro,,n,2,safety,
138,109881,tan,,adv,2,"so, as",
139,111843,tiempo,,n,2,time,
140,112125,tipo,,n,2,"kind, type, sort, manner",
141,112628,tomar,,v,2,to take,
142,113231,trabajar,,v,2,to work,yes
143,113236,trabajo,,n,2,"work, job",
144,117205,venir,,v,2,"Senses relating to literal movement. [+de (from) or desde (from), along with a (to) or para (to, toward) or hacia (toward)]",
145,117365,verdad,,interj,2,right,
146,121021,último,,adj,2,last,
147,10268,acabar,,v,3,to finish,
148,11141,acuerdo,,n,3,agreement,
149,35986,conocer,,v,3,"to know (a person or a place), to be familiar with, to be acquainted with",
150,40382,dar,,v,3,"to give, to give out",
151,41213,deber,,n,3,"obligation, duty",
152,41214,deber,,v,3,"must, need to, have to (indicates an obligation or requirement) [(optionally) +de]",
153,41664,dejar,,v,3,to leave (to place),
154,51823,esperar,,v,3,"to wait, wait (for) [(optionally) +direct object (for something) or a que (+ subjunctive clause) (for something to happen)]",
155,52394,estar,,v,3,"to be (denotes a copula, in a transient fashion)",
156,61450,gustar,,v,3,"translated as ""to like"", analyzable in structure as ""to please"" [+dative (someone)] (the thing being liked is the subject, while the ""liker"" is in the dative case (""indirect object"")). See the usage notes for more. Compare similar structures in Italian ""piacere"", Romanian ""plăcea"", German ""gefallen"" and Russian ""нравиться""",
157,61615,haber,,v,3,"“there is”, “there are” (hay)",
158,61722,hacer,,v,3,to do,
159,62343,hecho,,n,3,fact,
160,72858,llevar,,v,3,"to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug (implies to move something further from who speaks)",
161,77045,menos,,conj,3,"except, besides",
162,78912,mismo,,adj,3,same,
163,78913,mismo,,adv,3,"right, exactly, immediately",
164,86040,oír,,v,3,to hear,
165,87522,parecer,,n,3,appearance (used generally when a person is pretty),
166,87523,parecer,,v,3,"to seem, to see fit",
167,87916,pasar,,v,3,to happen,
168,92657,poner,,v,3,"to put, to put up, to place, to lay",
169,97029,quedar,,v,3,to stay,
170,102604,saber,,v,3,"to know, to understand (a fact)",
171,104228,seguir,,v,3,to follow,
172,104804,sentir,,n,3,feeling,
173,104805,sentir,,v,3,to feel,
174,104892,ser,,n,3,"nature, essence",
175,104893,ser,,v,3,to be (essentially or identified as),
176,105381,señor,,adj,3,great big,
177,109882,tan,,determiner,3,"such, such a",
178,112126,tipo,,particle,3,like,
179,114017,tratar,,v,3,"to try, to seek, to attempt, to strive, to endeavor [+de (+ infinitive) (to do something)]",
180,117645,vez,,n,3,"time, instance",
181,118705,volver,,v,3,"to come back, go back",
182,119303,ya,,adv,3,already,
183,119305,ya,,interj,3,OK,
184,23206,bien,,adj,4,well-to-do,
185,23208,bien,,conj,4,either ... or,
186,61614,haber,,n,4,asset,
187,71379,leche,,interj,4,shit,yes
188,86153,padre,,adj,4,"cool, acceptable, easy",
189,112124,tipo,,adj,4,"dolled up, smartened up, dressed for a special occasion",
190,119304,ya,,conj,4,first (something) then (something else),
