sort_order,id,word1,pronunciation,difficulty,definition,has_icon
229,373,一些,yī xiē,2,some,yes
230,530,一家,yī jiā,2,the whole family,yes
231,750,一直,yī zhí,2,continuously,yes
232,990,一点,yī diǎn,2,a bit,yes
233,997,一点点,yī diǎn diǎn,2,a little bit,yes
234,1150,丈夫,zhàng fu,2,husband,yes
235,1738,上班,shàng bān,2,to go to work,yes
236,1982,下班,xià bān,2,to get off work,yes
237,2058,下雪,xià xuě,2,to snow,yes
238,4450,干净,gān jìng,2,clean,yes
239,6122,介绍,jiè shào,2,to introduce (somebody to somebody),yes
240,6212,付钱,fù qián,2,to pay,yes
241,6429,以前,yǐ qián,2,before,yes
242,7070,但是,dàn shì,2,but,yes
243,7093,位,wèi,2,position,yes
244,7447,作业,zuò yè,2,homework,yes
245,9966,像,xiàng,2,to resemble,yes
246,10449,先,xiān,2,first,yes
247,11258,全家,quán jiā,2,whole family,yes
248,13033,出来,chū lái,2,to come out,yes
249,13185,出租车,chū zū chē,2,taxi,yes
250,13246,出门,chū mén,2,to go out,yes
251,13871,别,bié,2,don't ...!,yes
252,15846,包,bāo,2,bag,yes
253,19153,可能,kě néng,2,possible,
254,20762,告诉,gào sù,2,to tell,yes
255,20799,周,zhōu,2,week,yes
256,21677,哪些,nǎ xiē,2,which ones?,yes
257,22163,问题,wèn tí,2,problem,yes
258,23835,回答,huí dá,2,to answer,yes
259,23928,因为,yīn wèi,2,because,yes
260,24917,地方,dì fāng,2,place,yes
261,25505,城市,chéng shì,2,city,yes
262,26002,报纸,bào zhǐ,2,newspaper,yes
263,26658,坏,huài,2,bad,yes
264,27745,大小,dà xiǎo,2,size,yes
265,29896,好好,hǎo hǎo,2,well,yes
266,30227,妻子,qī zǐ,2,wife,yes
267,32528,害怕,hài pà,2,to be afraid,yes
268,32564,家人,jiā rén,2,family member,yes
269,33496,宝宝,bǎo bao,2,baby,yes
270,36481,已经,yǐ jīng,2,already,yes
271,37341,帮助,bāng zhù,2,to help,yes
272,38020,店,diàn,2,store,yes
273,38239,厕所,cè suǒ,2,toilet,yes
274,42739,慢,màn,2,slow,yes
275,42756,慢慢,màn màn,2,slowly,yes
276,43896,所以,suǒ yǐ,2,so,yes
277,44076,手机,shǒu jī,2,mobile phone,yes
278,44377,打扫,dǎ sǎo,2,to clean,yes
279,49929,放假,fàng jià,2,to have a holiday or vacation,yes
280,50510,散步,sàn bù,2,to take a walk,yes
281,51940,旁边,páng biān,2,side,yes
282,53383,晴天,qíng tiān,2,sunny day,yes
283,54194,最近,zuì jìn,2,recently,yes
284,54303,月份,yuè fèn,2,month,
285,54412,有些人,yǒu xiē rén,2,some people,
286,54549,有时候,yǒu shí hou,2,sometimes,
287,56324,果汁,guǒ zhī,2,fruit juice,yes
288,58589,楼,lóu,2,floor,yes
289,62929,河,hé,2,river,yes
290,63952,洗澡,xǐ zǎo,2,to bathe,yes
291,66226,游泳,yóu yǒng,2,to swim,yes
292,66415,汤,tāng,2,soup,yes
293,66503,准备,zhǔn bèi,2,to prepare,yes
294,67174,漂亮,piào liang,2,beautiful,yes
295,69591,然后,rán hoù,2,then,yes
296,70060,热,rè,2,hot (of weather),yes
297,70966,牛肉,niú roù,2,beef,yes
298,74587,画画,huà huà,2,to draw,yes
299,77566,真,zhēn,2,real,yes
300,81779,站,zhàn,2,to stand,yes
301,81796,站起来,zhàn qǐ lai,2,to stand up,yes
302,82659,节日,jié rì,2,festival,yes
303,82972,篮球,lán qiú,2,basketball,yes
304,87693,老人,lǎo rén,2,old man or woman,yes
305,87989,考试,kǎo shì,2,exam,yes
306,89056,肚子,dù zi,2,belly,yes
307,90114,脚,jiǎo,2,foot,yes
308,90239,腿,tuǐ,2,leg,yes
309,93834,万,wàn,2,ten thousand,yes
310,97259,街上,jiē shang,2,on the street,yes
311,97338,卫生间,wèi shēng jiān,2,toilet,yes
312,97793,裙子,qún zi,2,skirt,yes
313,98235,裤子,kù zi,2,pants,yes
314,99711,许多,xǔ duō,2,many,yes
315,102340,贵,guì,2,expensive,yes
316,102430,买票,mǎi piào,2,to buy tickets,yes
317,102815,卖,mài,2,to sell,yes
318,103406,起来,qǐ lai,2,to get up,yes
319,103833,足球,zú qiú,2,soccer,yes
320,103933,跑,pǎo,2,to run,yes
321,103953,跑步,pǎo bù,2,to run,yes
322,104186,跳,tiào,2,to jump,yes
323,104218,跳舞,tiào wǔ,2,to dance,yes
324,107130,周末,zhōu mò,2,weekend,yes
325,107153,进去,jìn qù,2,to go in,yes
326,107384,运动,yùn dòng,2,sports,yes
327,107495,过去,guò qù,2,(in the) past,yes
328,108371,还有,hái yǒu,2,in addition,
329,110701,银行,yín háng,2,bank,yes
330,111189,错,cuò,2,wrong,yes
331,111893,长,cháng,2,long,yes
332,115471,雨伞,yǔ sǎn,2,umbrella,yes
333,116015,电脑,diàn nǎo,2,computer,yes
334,117036,鞋子,xié zi,2,shoe,yes
335,118908,餐厅,cān tīng,2,restaurant,yes
336,119366,马上,mǎ shàng,2,immediately,yes
337,119621,马路,mǎ lù,2,road,yes
338,120421,体育,tǐ yù,2,sports,yes
339,121679,鸟,niǎo,2,bird,yes
340,122454,面条,miàn tiáo,2,noodles,yes
341,607,一排,yī pái,3,row,yes
342,837,一般,yī bān,3,ordinary,yes
343,935,一边,yī biān,3,one side,yes
344,1770,上网,shàng wǎng,3,to go online,yes
345,1898,下去,xià qù,3,to continue,yes
346,1949,下棋,xià qí,3,to play chess,yes
347,2409,不少,bù shǎo,3,many,yes
348,3627,中秋节,zhōng qiū jié,3,the Mid-Autumn Festival on 15th of 8th lunar month,yes
349,3757,中间,zhōng jiān,3,in the middle,
350,7107,位置,wèi zhi,3,position,yes
351,7929,便宜,pián yi,3,cheap,yes
352,8967,假期,jià qī,3,vacation,yes
353,9256,停车场,tíng chē chǎng,3,parking lot,yes
354,9283,健康,jiàn kāng,3,health,yes
355,10068,价格,jià gé,3,price,yes
356,10319,元旦,yuán dàn,3,New Year's Day,yes
357,10893,兔子,tù zi,3,rabbit,yes
358,11738,公司,gōng sī,3,company,yes
359,12175,其实,qí shí,3,actually,yes
360,12616,冰箱,bīng xiāng,3,refrigerator,yes
361,13162,出生,chū shēng,3,to be born,yes
362,15176,加油站,jiā yóu zhàn,3,gas station,yes
363,15460,动作,dòng zuò,3,action,yes
364,15873,包子,bāo zi,3,steamed stuffed bun,yes
365,17800,原因,yuán yīn,3,reason,yes
366,19124,可乐,kě lè,3,(loanword) cola,
367,19565,各种,gè zhǒng,3,all kinds of,yes
368,19904,同事,tóng shì,3,colleague,yes
369,19970,同意,tóng yì,3,to agree,yes
370,21214,咖啡,kā fēi,3,(loanword) coffee,yes
371,21221,咖啡店,kā fēi diàn,3,café,yes
372,22231,啤酒,pí jiǔ,3,beer (loanword),yes
373,23116,嘴,zuǐ,3,mouth,yes
374,23977,困难,kùn nan,3,difficult,yes
375,24194,国庆节,guó qìng jié,3,PRC National Day (October 1st),yes
376,24539,图书馆,tú shū guǎn,3,library,yes
377,24723,土豆,tǔ doù,3,potato,yes
378,24876,地图,dì tú,3,map,yes
379,25032,地铁,dì tiě,3,subway,yes
380,26948,外套,wài tào,3,coat,yes
381,27918,大概,dà gài,3,probably,yes
382,30033,如果,rú guǒ,3,if,yes
383,31332,季节,jì jié,3,season,yes
384,32357,客厅,kè tīng,3,living room,yes
385,36406,差,chà,3,inferior,yes
386,36412,差不多,chà bu duō,3,almost,yes
387,37273,帽子,mào zi,3,hat,yes
388,37665,年夜饭,nián yè fàn,3,reunion dinner on Lunar New Year's Eve (Chinese New Year tradition),yes
389,38299,厨房,chú fáng,3,kitchen,yes
390,39219,弹琴,tán qín,3,to play or strum a lute or other stringed instrument,yes
391,39359,形状,xíng zhuàng,3,shape,yes
392,39702,后天,hoù tiān,3,the day after tomorrow,yes
393,39996,从来,cóng lái,3,never (if used in negative sentence),yes
394,40535,心情,xīn qíng,3,mood,yes
395,40857,忙着,máng zhe,3,to be occupied with (doing something),yes
396,41887,情人节,qíng rén jié,3,Valentine's Day,yes
397,42405,爱好,ài hào,3,hobby,yes
398,42525,感冒,gǎn mào,3,(common) cold,yes
399,42527,感到,gǎn dào,3,to feel,yes
400,42585,感谢,gǎn xiè,3,thanks,yes
401,43497,成绩,chéng jì,3,grades,yes
402,44018,手套,shǒu tào,3,glove,yes
403,44101,手纸,shǒu zhǐ,3,toilet paper,yes
404,44145,手表,shǒu biǎo,3,wristwatch,yes
405,44364,打折,dǎ zhé,3,to give a discount,yes
406,44520,打针,dǎ zhēn,3,to give or get an injection,yes
407,44870,找钱,zhǎo qián,3,to give change,yes
408,45857,拍照,pāi zhào,3,to take a picture,yes
409,46417,拿铁,ná tiě,3,latte (loanword),yes
410,49170,担心,dān xīn,3,to worry,yes
411,49803,收音机,shōu yīn jī,3,radio,yes
412,50764,数字,shù zì,3,number,yes
413,51772,方便,fāng biàn,3,convenient,yes
414,51821,方法,fāng fǎ,3,method,yes
415,51968,旅行,lǚ xíng,3,to travel,yes
416,51977,旅游,lǚ yóu,3,to travel,yes
417,53310,普通话,pǔ tōng huà,3,Mandarin Chinese,yes
418,54700,有趣,yǒu qù,3,interesting,
419,55104,未来,wèi lái,3,future,yes
420,57174,桃子,táo zi,3,peach,yes
421,57490,梨,lí,3,pear,yes
422,57537,梳子,shū zi,3,comb,yes
423,58933,橙子,chéng zi,3,orange,yes
424,58944,橙色,chéng sè,3,orange (color),yes
425,58974,机场,jī chǎng,3,airport,yes
426,59324,柠檬,níng méng,3,lemon,yes
427,59344,柜子,guì zi,3,cupboard,yes
428,60902,母亲节,mǔ qīn jié,3,Mother's Day,yes
429,61134,毛巾,máo jīn,3,towel,yes
430,61186,毛衣,máo yī,3,(wool) sweater,yes
431,62870,沙发,shā fā,3,sofa (loanword),yes
432,63929,洗手液,xǐ shǒu yè,3,liquid hand soap,yes
433,63984,洗衣机,xǐ yī jī,3,washing machine,yes
434,63997,洗发水,xǐ fà shuǐ,3,shampoo (liquid),yes
435,64313,派对,pài duì,3,(loanword) party,yes
436,66323,湖,hú,3,lake,yes
437,66629,温度,wēn dù,3,temperature,
438,68446,火锅,huǒ guō,3,hotpot,yes
439,68657,炒饭,chǎo fàn,3,fried rice,yes
440,70624,爬山,pá shān,3,to go for a hike (esp. in the hills or mountains),yes
441,70858,牙刷,yá shuā,3,toothbrush,yes
442,70894,牙膏,yá gāo,3,toothpaste,yes
443,73328,瓜子,guā zǐ,3,"seeds of pumpkin, watermelon or sunflower etc, roasted and flavored, consumed as a snack",yes
444,73735,生气,shēng qì,3,to get angry,yes
445,75624,发烧,fā shāo,3,to have a fever,yes
446,75648,发短信,fā duǎn xìn,3,to send a text message,yes
447,75732,发音,fā yīn,3,pronunciation,yes
448,76103,白开水,bái kāi shuǐ,3,plain boiled water,yes
449,77526,看病,kàn bìng,3,to visit a doctor,yes
450,77544,看起来,kàn qǐ lai,3,to seem,yes
451,77832,眼镜,yǎn jìng,3,eyeglasses,yes
452,78270,短,duǎn,3,short,yes
453,78347,矮,ǎi,3,(of a person) short,yes
454,79505,矿泉水,kuàng quán shuǐ,3,mineral water,yes
455,80602,秒,miǎo,3,second (unit of time),yes
456,81333,空气,kōng qì,3,air,
457,81386,空调,kōng tiáo,3,air conditioner (including units that have a heating mode),
458,81704,立刻,lì kè,3,immediately,yes
459,82139,笨,bèn,3,stupid,yes
460,82402,答案,dá àn,3,answer,yes
461,82639,节,jié,3,seasonal festival,yes
462,82848,简单,jiǎn dān,3,simple,yes
463,83160,粉色,fěn sè,3,pink,yes
464,83262,粥,zhōu,3,congee,yes
465,83489,糖果,táng guǒ,3,candy,yes
466,83884,红绿灯,hóng lǜ dēng,3,traffic light,yes
467,83940,红茶,hóng chá,3,black tea,yes
468,84423,紫色,zǐ sè,3,purple,yes
469,84709,结婚,jié hūn,3,to get married,yes
470,85149,经常,jīng cháng,3,often,yes
471,85929,练,liàn,3,to practice,yes
472,85935,练习,liàn xí,3,to practice,yes
473,86158,总是,zǒng shì,3,always,yes
474,87480,习惯,xí guàn,3,habit,yes
475,87910,老板,lǎo bǎn,3,boss,yes
476,88017,而,ér,3,and,yes
477,88300,聊天,liáo tiān,3,to chat,yes
478,88435,圣诞节,shèng dàn jié,3,Christmas,yes
479,88493,聚会,jù huì,3,party,yes
480,88672,聪明,cōng ming,3,intelligent,yes
481,89293,背,bēi,3,the back of a body or object,yes
482,90559,脏,zāng,3,dirty,yes
483,90584,卧室,wò shì,3,bedroom,yes
484,91459,兴趣,xìng qù,3,interest (desire to know about something),yes
485,91517,旧,jiù,3,old,yes
486,92167,芒果,máng guǒ,3,(loanword) mango,yes
487,92391,花生,huā shēng,3,peanut,yes
488,93089,草,cǎo,3,grass,yes
489,93155,草莓,cǎo méi,3,strawberry,yes
490,93508,菜单,cài dān,3,menu,yes
491,94266,葡萄,pú tao,3,grape,yes
492,94826,蔬菜,shū cài,3,vegetables,yes
493,95422,药,yào,3,medicine,yes
494,96175,蛋糕,dàn gāo,3,cake,yes
495,96436,虾,xiā,3,shrimp,yes
496,97159,行李,xíng li,3,luggage,yes
497,97276,街道,jiē dào,3,street,yes
498,98324,袜子,wà zi,3,socks,yes
499,98337,衬衫,chèn shān,3,shirt,yes
500,98523,西瓜,xī guā,3,watermelon,yes
501,98543,西红柿,xī hóng shì,3,tomato,yes
502,99440,计划,jì huà,3,plan,yes
503,99509,讨厌,tǎo yàn,3,annoying,yes
504,99861,词典,cí diǎn,3,dictionary,yes
505,100173,认真,rèn zhēn,3,serious,yes
506,101221,警察,jǐng chá,3,police,yes
507,101415,变化,biàn huà,3,change,yes
508,101624,豆腐,doù fu,3,tofu,yes
509,101830,猪,zhū,3,pig,yes
510,101862,猪肉,zhū roù,3,pork,yes
511,102496,贴,tiē,3,to stick,yes
512,102739,宾馆,bīn guǎn,3,hotel,yes
513,103553,超市,chāo shì,3,supermarket,yes
514,106844,逛街,guàng jiē,3,to window-shop,yes
515,107484,过来,guò lái,3,to come over,yes
516,107518,过年,guò nián,3,to celebrate the Chinese New Year,yes
517,107691,道歉,dào qiàn,3,to apologize,yes
518,108989,邻居,lín jū,3,neighbor,yes
519,109837,重要,zhòng yào,3,important,yes
520,110437,钓鱼,diào yú,3,to fish (with line and hook),yes
521,110702,银行卡,yín háng kǎ,3,bank card,yes
522,111099,钱包,qián bāo,3,wallet,yes
523,111280,锻炼,duàn liàn,3,to work out,yes
524,111515,镜子,jìng zi,3,mirror,yes
525,111818,钥匙,yào shi,3,key,yes
526,112524,开会,kāi huì,3,to hold a meeting,yes
527,112993,关系,guān xi,3,relationship,yes
528,113028,关心,guān xīn,3,to care about,yes
529,113719,附近,fù jìn,3,nearby,yes
530,113842,院子,yuàn zi,3,courtyard,yes
531,113946,阴天,yīn tiān,3,cloudy day,yes
532,114260,阳台,yáng tái,3,balcony,yes
533,114957,虽然,suī rán,3,although,yes
534,115236,杂志,zá zhì,3,magazine,yes
535,115305,鸡肉,jī roù,3,chicken meat,yes
536,115447,难看,nán kàn,3,ugly,yes
537,115463,难过,nán guò,3,to feel sad,yes
538,115940,电梯,diàn tī,3,elevator,yes
539,115973,电灯,diàn dēng,3,electric light,yes
540,116847,靠窗,kào chuāng,3,by the window (referring to seats on a plane etc),yes
541,117858,头疼,tóu téng,3,headache,yes
542,118428,刮风,guā fēng,3,to be windy,yes
543,118810,饺子,jiǎo zi,3,dumpling,yes
544,119303,香皂,xiāng zào,3,perfumed soap,yes
545,119331,香蕉,xiāng jiāo,3,banana,yes
546,1573,上来,shàng lái,4,to come up,yes
547,1578,上传,shàng chuán,4,to upload,yes
548,1901,下单,xià dān,4,to place an order,yes
549,2032,下载,xià zǎi,4,to download,yes
550,2166,不仅,bù jǐn,4,not just,yes
551,4488,干货,gān huò,4,(fig.) (coll.) knowledge presented in readily assimilable form,yes
552,5415,交流,jiāo liú,4,exchange,yes
553,6199,付款,fù kuǎn,4,to pay a sum of money,yes
554,6595,任务,rèn wu,4,task,yes
555,7249,住院,zhù yuàn,4,to be hospitalized,yes
556,8912,假,jiǎ,4,fake,yes
557,9304,健身,jiàn shēn,4,to work out,yes
558,9378,偶尔,ǒu ěr,4,occasionally,yes
559,10226,优点,yōu diǎn,4,advantage,yes
560,10855,免费,miǎn fèi,4,free (of charge),yes
561,10965,入境,rù jìng,4,to enter a country,yes
562,13079,出境,chū jìng,4,to leave a country or region,yes
563,13096,出差,chū chāi,4,to go on an official or business trip,yes
564,13346,分享,fēn xiǎng,4,to share (let others have some of something good),yes
565,13420,分手,fēn shǒu,4,to break up,yes
566,14257,剃须刀,tì xū dāo,4,razor,yes
567,15196,加班,jiā bān,4,to work overtime,yes
568,16483,十字路口,shí zì lù kǒu,4,intersection,yes
569,17894,原谅,yuán liàng,4,to forgive,yes
570,17949,去世,qù shì,4,to die,yes
571,28903,太极,tài jí,4,"the Absolute or Supreme Ultimate, the source of all things according to some interpretations of Chinese mythology",yes
572,28907,太极拳,tài jí quán,4,tai chi,yes
573,29963,好处,hǎo chu,4,benefit,yes
574,32900,密码,mì mǎ,4,password,yes
575,36715,市中心,shì zhōng xīn,4,city center,
576,37615,平静,píng jìng,4,tranquil,yes
577,37712,年货,nián huò,4,merchandise sold for Chinese New Year,yes
578,37877,几乎,jī hū,4,almost,yes
579,38635,建议,jiàn yì,4,to suggest,yes
580,39145,强身健体,qiáng shēn jiàn tǐ,4,to keep fit and healthy,yes
581,40950,快递,kuài dì,4,express delivery,yes
582,41118,思念,sī niàn,4,to miss,yes
583,41299,性格,xìng gé,4,character,yes
584,41773,悠闲,yōu xián,4,leisurely,yes
