front,back,hint,publishedAt
"社会化","socialize","","2025-01-06T06:16:13.470Z"
"转达","to pass on","","2025-01-04T07:06:29.585Z"
"难得","Rare","","2025-01-06T03:53:07.768Z"
"着想","to consider others","","2025-01-04T06:32:50.039Z"
"简介","brief introduction","","2024-12-31T06:33:28.488Z"
"概括","to summarize","","2024-12-31T06:33:46.415Z"
"渠道","means; ways","","2024-12-31T00:49:57.444Z"
"坚决","Resolute; determined to","","2025-01-01T02:22:49.110Z"
"优秀","excellent","","2025-01-02T02:51:55.537Z"
"耍","to play with","","2025-01-04T07:52:54.783Z"
"例子","Example","","2025-01-04T07:47:34.347Z"
"脑力","mental capacity","","2025-01-04T07:49:47.594Z"
"他人","Others","","2025-01-04T06:32:33.903Z"
"怂","timid","","2025-01-04T06:17:54.170Z"
"绝望","despair","","2025-01-04T05:55:30.859Z"
"用功","diligent","","2025-01-04T05:48:14.420Z"
"尽心尽力","very dedicated","","2025-01-04T05:48:00.594Z"
"猝不及防","caught off guard","","2025-01-04T05:03:41.421Z"
"菜","weak; bad at something","","2024-12-30T08:25:38.627Z"
"一瞬间","split second","","2025-01-03T20:32:52.228Z"
"海龟","sea turtle","","2024-12-29T23:47:32.655Z"
"抓拍","candid","","2024-12-29T06:02:25.769Z"
"语境","context","","2024-12-29T06:13:12.540Z"
"懊恼","annoying","","2024-12-29T06:47:00.407Z"
"热爱","to adore","","2024-12-31T21:44:22.238Z"
"伤害","to harm","","2024-09-09T13:13:46.829Z"
"想想看","think about it","","2024-12-29T05:45:42.327Z"
"地形","topography","","2024-12-31T19:31:54.930Z"
"纹身","Tattoo","","2024-11-24T03:02:51.138Z"
"聚会","hang out","","2024-09-14T03:36:01.053Z"
"取笑","to make fun of","","2024-12-29T06:50:50.577Z"
"结帐","to pay the bill","","2024-12-29T03:26:41.415Z"
"无人","unmanned","","2024-12-31T07:45:42.353Z"
"发达","Developed; prosperous","","2023-11-30T07:39:35.701Z"
"鼓励","to encourage","","2024-09-27T05:49:55.014Z"
"请求","to Request","","2024-09-16T05:21:18.705Z"
"搔痒","to scratch an itch","","2024-09-29T23:42:56.803Z"
"借过","excuse me","","2024-08-26T04:10:02.010Z"
"非凡","unusually good","","2024-04-05T05:23:43.291Z"
"明显","obvious","","2024-09-28T03:54:37.866Z"
"分享","to share","","2024-03-01T02:37:39.723Z"
"违规","to break a rule; non-compliance","","2024-09-29T23:45:40.643Z"
"角度","Angle","","2024-10-05T04:55:02.908Z"
"加入","to Join","","2024-10-06T06:15:51.141Z"
"超车","overtake (another car)","","2024-10-07T05:56:11.370Z"
"专心","to consentrate; to focus","","2024-11-28T22:28:52.195Z"
"替换","restock; refill","","2024-02-22T02:19:18.411Z"
"默契","implicit mutual understanding","","2024-12-06T06:25:37.983Z"
"凸","convex; protrude","","2024-10-07T05:57:42.924Z"
"公路","highway","","2024-09-19T15:18:27.431Z"
"温和","Mild; moderate","","2024-12-06T07:14:45.053Z"
"曲线","curve","","2024-10-07T05:57:14.865Z"
"冲突","Conflict","","2025-01-03T07:46:21.829Z"
"极好","fabulous; great","","2024-09-27T02:00:21.563Z"
"批评","to Criticize","","2024-09-27T05:12:06.819Z"
"嬉戏","frolic","","2024-03-01T02:57:42.136Z"
"窄","Narrow","","2024-10-01T06:14:39.858Z"
"成语","Idioms","","2024-09-24T01:37:18.398Z"
"记忆","Memories","","2024-03-01T03:12:51.064Z"
"自然而然","involuntarily; automatically","","2025-01-03T06:14:51.980Z"
"客观","Objective","","2025-01-02T03:02:43.339Z"
"称呼","way to address someone","","2024-12-29T23:46:20.889Z"
"居多","to be in the majority","","2024-12-29T06:23:13.724Z"
"副词","adverb","","2025-01-03T05:29:18.084Z"
"眼神","eye expression","","2024-12-31T19:29:18.671Z"
"十分","completely; 100%","","2025-01-03T05:28:36.232Z"
"有利","Favorable","","2024-12-31T19:31:39.162Z"
"尤其是","In particular","","2024-12-29T05:50:41.158Z"
"柔和","gentle","","2025-01-02T03:00:49.567Z"
"心爱","beloved","","2025-01-01T06:57:23.425Z"
"通顺","coherant","","2025-01-03T05:27:46.651Z"
"疑惑","to be confused about","","2025-01-02T03:41:11.165Z"
"中","in the middle of","","2025-01-01T06:59:23.654Z"
"把关","to guard; to check","","2025-01-01T01:53:34.758Z"
"测试","to test","","2025-01-03T05:27:05.928Z"
"修饰","to modify (grammar)","","2025-01-03T05:26:30.293Z"
"恰当","adequate; appropriate","","2025-01-02T03:09:31.235Z"
"过于","excessive","","2025-01-02T02:59:44.543Z"
"诀窍","secret; trick","","2025-01-03T05:25:51.529Z"
"搞定","to settle","","2025-01-02T03:16:12.575Z"
"行程","Itinerary","","2024-12-29T05:51:18.208Z"
"过程","process","","2025-01-02T03:53:57.134Z"
"情境","context; situation","","2024-12-07T07:40:59.852Z"
"保持","to maintain; to keep doing something","","2025-01-02T03:44:32.566Z"
"承认","to admit","","2025-01-02T23:57:05.767Z"
"精辟","on point","","2025-01-01T07:20:29.123Z"
"鼓掌","to applaud","","2025-01-01T07:17:20.996Z"
"好感","good impression; favor","","2025-01-02T03:24:58.960Z"
"事物","object","","2025-01-02T03:50:44.115Z"
"纪律","Discipline","","2024-12-31T07:47:16.968Z"
"刻意","deliberately; intentionally","","2025-01-02T03:57:19.172Z"
"万一","In case...","","2025-01-01T06:59:50.165Z"
"二选一","choose one or the other","","2025-01-02T03:32:36.803Z"
"尝试","to try; to attempt","","2025-01-01T08:34:09.713Z"
"监督","to supervise; to monitor; to oversee","","2024-12-31T07:46:07.300Z"
"循环","to circulate; to loop","","2024-12-22T01:06:10.121Z"
"重复","Repeat","","2023-11-18T19:43:33.566Z"
"夕阳","Sunset","","2024-12-31T07:36:11.905Z"
"公主","Princess","","2025-01-03T05:08:06.492Z"
"主语","subject (of a sentence)","","2025-01-02T02:54:27.813Z"
"负罪感","guilt","","2024-12-31T07:40:09.756Z"
"尽兴","heart's content","","2024-12-31T07:22:38.182Z"
"混淆","to get mixed up","","2024-12-29T06:20:13.714Z"
"时刻","moment; always","","2024-12-31T07:36:43.312Z"
"自律","self-discipline","","2024-12-31T07:45:22.277Z"
"作为","to act as; as","","2024-12-30T22:10:46.346Z"
"憎厌","to loathe","","2024-12-31T04:02:11.385Z"
"老一辈","previous generation","","2024-12-30T22:11:15.614Z"
"吸引","to attract; to draw in","","2024-12-22T01:28:41.009Z"
"这位","this (person)","","2024-12-30T22:11:56.269Z"
"身高","Height","","2024-12-30T21:05:02.121Z"
"憎恶","hatred","","2024-12-29T06:53:55.950Z"
"麻痹","to stun","","2024-12-30T08:29:25.733Z"
"要看","it depends on...","","2024-12-30T20:24:47.006Z"
"厌恶","to hate","","2024-12-29T06:54:49.403Z"
"传统","Traditional","","2024-11-19T05:10:01.926Z"
"相比","to compare","","2024-12-29T06:23:44.561Z"
"三言两语","in a few words (idiom); expressed succinctly","","2024-12-29T07:03:03.268Z"
"仇恨","hatred","","2024-12-29T06:55:19.201Z"
"无敌","unparelleled","","2024-12-30T01:52:35.940Z"
"巨大","Huge","","2024-12-29T23:47:02.398Z"
"伙伴","Partners","","2023-11-30T07:38:40.458Z"
"举动","act; action","","2024-09-24T20:37:44.995Z"
"以下","The following","","2024-11-27T03:39:06.413Z"
"处罚","punishment; penalty","","2023-12-13T07:07:10.285Z"
"服务","Service","","2024-11-21T03:31:43.475Z"
"跃","to jump","","2024-12-29T02:29:27.449Z"
"填表","fill a form","","2023-12-27T08:43:19.322Z"
"调情","flirt","","2024-02-14T07:22:46.111Z"
"餐","Meal","","2024-09-26T02:44:13.253Z"
"准备","prepare; plan","","2024-03-04T08:05:17.072Z"
"影响","Impact; influence","","2024-03-04T07:39:26.077Z"
"禁止","Prohibit","","2024-09-17T18:43:20.742Z"
"冒犯","to offend; to insult","","2024-12-19T02:03:22.795Z"
"处理","to deal with; to cope with; to handle","","2024-12-18T07:08:29.316Z"
"狂","crazy; wild","","2024-12-19T06:27:54.462Z"
"一塌糊涂","messy","","2024-12-20T18:19:29.054Z"
"遵循","to comply with; to abide by","","2024-12-18T19:10:40.160Z"
"光景","pleasant scene","","2024-12-22T01:30:02.419Z"
"与","and","","2024-12-07T08:01:23.160Z"
"健行","hike","","2024-09-23T20:10:03.826Z"
"亲密","Intimate","","2024-12-22T01:30:21.671Z"
"包含","to contain","","2024-12-14T17:55:22.694Z"
"躺平","lie flat; to go to sleep","","2024-12-26T07:17:03.894Z"
"拥有","to possess; to own","","2024-12-22T01:33:37.771Z"
"级别","Level; rank","","2024-11-19T23:39:29.066Z"
"优先","to prioritize","","2024-11-19T20:17:09.346Z"
"缝隙","crevice","","2024-12-22T01:29:04.764Z"
"耳闻","to hear about","","2024-12-28T08:15:12.480Z"
"避免","avoid; prevent","","2023-11-30T07:37:55.501Z"
"英雄","Hero","","2024-12-17T18:57:20.333Z"
"效果","effect","","2024-11-16T06:43:34.514Z"
"依然","still","","2024-12-22T01:08:40.310Z"
"银河","Milky Way","","2024-12-22T01:04:58.384Z"
"着迷","to be captivated by","","2024-12-22T01:04:40.407Z"
"忍耐","to repress; to bear; to endure","","2024-12-08T06:01:17.579Z"
"真实","Real","","2024-12-22T01:09:33.156Z"
"单位","Unit of measure","","2024-12-15T01:24:15.213Z"
"相反","opposite","","2024-12-19T06:38:26.921Z"
"相遇","to meet; to encounter","","2024-12-28T01:50:55.139Z"
"发挥","to fully utilize","","2024-12-17T01:25:11.290Z"
"循着","to follow along something","","2024-12-22T01:06:35.722Z"
"团圆","reunion; to reunite","","2024-12-26T07:06:19.364Z"
"正确","Correct; right","","2024-12-18T19:20:08.178Z"
"创意","Creativity","","2024-12-07T07:44:22.816Z"
"庆祝","to celebrate","","2024-11-24T02:10:07.946Z"
"沉溺","addicted; to indulge in","","2024-12-28T01:49:58.975Z"
"介意","to care about; to mind","","2024-12-17T05:39:50.834Z"
"脊椎","backbone; vertebra","","2024-12-27T17:02:04.428Z"
"环游","to travel around (the world, a country etc)","","2024-12-28T01:51:13.774Z"
"回应","to respond","","2024-12-27T16:45:20.840Z"
"生物","organism","","2024-12-27T19:31:52.965Z"
"曲折","winding","","2024-12-22T01:31:13.185Z"
"纹理","grain; veins","","2024-12-22T01:30:48.707Z"
"愈演愈烈","problems get worse and worse","","2024-12-26T07:15:19.938Z"
"抢手","in high demand","","2024-12-18T19:21:00.442Z"
"视力","vision","","2024-11-05T09:04:03.897Z"
"办事","to handle an issue","","2024-12-28T02:45:35.379Z"
"轨迹","orbit","","2024-12-22T01:28:22.477Z"
"证明","proof; to prove","","2024-12-12T07:06:05.547Z"
"冒昧","bold; presumptuous","","2024-12-19T06:13:24.100Z"
"遵守","to comply with; to abide by","","2024-12-19T06:23:35.797Z"
"节制","abstinence; self-control","","2024-09-24T07:45:00.149Z"
"禁用","to ban","","2024-12-19T06:36:28.212Z"
"止痛","painkiller","","2024-12-19T06:37:06.001Z"
"挑战","to challenge","","2024-12-14T05:33:27.701Z"
"老实说","Honestly","","2024-12-15T04:19:16.520Z"
"事件","event","","2024-12-05T06:44:30.395Z"
"溜冰","ice skating","","2024-12-13T22:43:37.554Z"
"提示","heads up; notice","","2024-09-15T06:46:58.217Z"
"愉快","Pleasant","","2024-11-27T03:43:59.088Z"
"粗魯","rude","","2024-12-15T04:18:49.184Z"
"纯粹","Purely","","2024-12-15T04:34:26.451Z"
"抱怨","to complain","","2024-11-26T03:25:39.535Z"
"磁铁","magnet","","2024-12-15T01:49:28.240Z"
"磁性","magnetic","","2024-12-15T01:49:50.314Z"
"店员","shopkeeper","","2024-12-15T01:48:49.630Z"
"股票","stock","","2024-11-19T20:03:20.530Z"
"性","property","","2024-12-15T01:51:02.568Z"
"容忍","to tolerate","","2024-12-06T00:58:19.330Z"
"说真的","seriously","","2024-12-15T03:05:42.519Z"
"资料","Information; data","","2024-11-19T06:58:09.296Z"
"阻止","to prevent; to stop","","2024-10-12T04:28:44.577Z"
"契约","contract","","2024-12-10T07:33:11.806Z"
"展现","to show; to display; to present","","2024-12-07T07:51:09.253Z"
"甚至","on top of this","","2023-10-20T04:24:39.209Z"
"手把","handlebar","","2024-10-13T02:05:06.469Z"
"缩","to shrink; to withdraw; to reduce","","2024-11-18T05:28:53.244Z"
"万事如意","may all your hopes be fulfilled","","2024-01-17T04:05:42.725Z"
"独一无二","the one and only","","2024-01-17T04:01:35.671Z"
"长辈","Elders","","2024-02-19T21:06:14.184Z"
"终于","Finally; at last","","2024-02-27T06:25:31.169Z"
"遮雨","protect from the rain","","2024-10-27T21:55:34.108Z"
"总算","finally","","2024-11-19T05:08:07.714Z"
"半路","halfway there","","2024-11-19T05:06:06.203Z"
"取代","to take over","","2024-09-29T23:44:08.375Z"
"随着","as; along with; following...","","2024-10-13T07:30:00.543Z"
"银幕","screen","","2024-09-23T21:16:18.111Z"
"流浪","to nomad","","2024-11-02T01:50:16.341Z"
"一次头","all at once","","2024-10-20T04:00:04.074Z"
"注重","Focus on","","2024-09-17T06:43:58.800Z"
"主要","Main; Mainly","","2024-04-30T01:22:40.219Z"
"距离","distance","","2023-12-08T02:57:28.479Z"
"装屄","person who pretends be better than they are","","2024-10-13T18:18:14.954Z"
"抠门","(dialect) stingy","","2024-10-13T18:15:33.374Z"
"温暖","Warmth","","2024-09-19T15:29:24.454Z"
"隐私","Privacy","","2024-09-17T06:43:28.999Z"
"补充","to Supplement","","2024-09-19T00:54:31.182Z"
"邮箱","Mailbox; email","","2024-07-25T19:07:23.222Z"
"受欢迎","Popular (people)","","2024-09-29T23:43:41.959Z"
"食物","Food","","2024-10-23T05:27:59.112Z"
"庙","temple","","2024-08-22T03:57:29.497Z"
"纪要","meeting minutes","","2024-05-25T08:37:03.136Z"
"文明","Civilization","","2024-08-21T04:37:19.180Z"
"悬崖","overhanging cliff","","2024-07-15T20:05:38.324Z"
"隐隐","faint; indistinct","","2024-10-20T07:20:44.929Z"
"魔术","magic","","2024-11-03T06:21:33.310Z"
"连续","Continuously; in a row","","2024-11-05T09:06:44.712Z"
"灵活","agile; flexible (options)","","2024-11-16T06:07:54.912Z"
"频率","frequency","","2024-11-16T06:45:52.633Z"
"社群","community (group of people)","","2024-09-14T05:45:22.566Z"
"艰辛","hardships","","2024-09-18T08:32:03.415Z"
"亲手","personally (do it); with one's own hands","","2024-11-18T01:27:44.270Z"
"效率","efficiency","","2024-11-09T06:25:38.250Z"
"比率","ratio; proportion","","2024-11-18T01:25:42.010Z"
"输入","to input; to enter in","","2024-09-26T02:23:22.432Z"
"近视","nearsighted","","2024-10-03T18:21:11.093Z"
"亲戚","wider family relatives","","2024-09-23T21:57:14.960Z"
"撒谎","to lie","","2024-10-13T07:29:09.152Z"
"线上","online","","2024-09-25T16:23:59.207Z"
"评价","Evaluation","","2024-09-11T07:24:45.774Z"
"耐心","Patience","","2024-09-18T08:31:38.575Z"
"趁","Take advantage of","","2024-09-05T07:59:57.463Z"
"研究所","graduate school","","2024-09-12T14:04:11.057Z"
"吃腻","to get sick of eating something","","2024-09-13T05:39:21.328Z"
"均匀","Uniform; evenly distributed; homogenous","","2024-09-11T16:09:45.847Z"
"特权","immunities; privleges","","2024-09-08T06:38:55.805Z"
"行李","Baggage","","2024-09-11T07:12:39.330Z"
"牌子","Brand","","2024-08-22T03:08:40.788Z"
"特长","one's special ability or strong points","","2024-09-12T04:26:37.158Z"
"打卡","clock in; to check in; to maintain a streak","","2024-09-04T14:44:53.610Z"
"点赞","Kudos； upvote","","2024-08-31T02:41:00.459Z"
"似乎","it seems","","2024-09-06T02:17:05.804Z"
"大陆","mainland china","","2024-09-05T13:26:58.677Z"
"发育","(body/physical) growth","","2024-09-04T12:43:49.888Z"
"心满意足","perfectly contented","","2024-09-07T15:45:54.076Z"
"省","Province","","2024-09-11T16:03:17.169Z"
"不快","unhappiness","","2024-09-11T15:15:57.224Z"
"物理","Physics","","2024-09-11T07:29:32.519Z"
"认同","identify oneself with; to endorse","","2024-09-11T15:22:17.343Z"
"新闻","News","","2024-09-11T15:23:09.586Z"
"文法","grammar","","2024-09-04T12:30:45.585Z"
"数学","Mathematics","","2024-09-11T07:29:21.850Z"
"成长","to grow (in general)","","2024-09-04T12:42:58.721Z"
"悲观","Pessimism","","2024-09-09T06:22:40.729Z"
"愛之語","love language","","2024-09-06T15:44:45.546Z"
"联络","to contact; to get in touch with","","2024-09-05T13:26:11.247Z"
"嫌弃","avoid sb (out of dislike)","","2024-08-27T01:56:12.955Z"
"交换","to exchange","","2024-09-05T13:25:26.539Z"
"修正","to revise","","2024-09-04T13:03:46.174Z"
"帐户","account","","2024-09-05T19:58:25.436Z"
"皇上","emperor","","2024-08-29T07:52:02.591Z"
"相近","close; similar","","2024-04-06T18:32:39.079Z"
"既然","since; now that","","2024-04-06T18:19:24.651Z"
"了解","To understand; to realize","","2023-11-20T18:40:08.378Z"
"顺利","Smoothly (how something is going)","","2024-05-26T19:36:57.916Z"
"日记","Diary; journal","","2024-04-10T16:33:47.352Z"
"意向","inclination; intention","","2024-02-21T22:19:42.856Z"
"某","a certain; some (arbitrary)","","2024-04-30T03:35:34.785Z"
"估计","to estimate","","2024-02-15T00:55:17.949Z"
"安隐","security","","2024-04-30T21:31:33.108Z"
"存储","stockpile; save","","2023-08-08T18:09:00.412Z"
"常识","Common sense","","2023-12-27T03:29:50.646Z"
"吞没","to engulf; swollen","","2024-02-27T06:16:17.014Z"
"待会","wait for a minute","","2024-04-15T17:54:23.515Z"
"同音","Homophone","","2023-11-24T06:29:26.757Z"
"晴朗","Sunny","","2024-07-15T19:54:28.203Z"
"擅长","are good at; to excel in","","2024-07-28T02:21:33.013Z"
"坚硬","stiff; firm; solid","","2024-04-10T04:15:49.609Z"
"触","touch","","2023-08-24T05:33:19.012Z"
"风暴","Storms","","2024-07-15T19:56:00.729Z"
"说明","instructions; to clarify","","2024-05-01T23:00:49.708Z"
"尊重","to respect","","2024-01-29T15:57:54.305Z"
"捣乱","to disrupt","","2024-04-15T19:13:08.620Z"
"报告","report; to report","","2024-04-03T03:39:30.608Z"
"调整","to adjust; to regulate; adjustments","","2024-02-22T02:17:36.082Z"
"差远","fall far short","","2024-03-15T23:26:23.295Z"
"往往","often","","2024-04-03T03:20:55.454Z"
"提醒","to remind","","2024-04-09T02:56:33.579Z"
"垂直","Vertical; perpendicular","","2024-02-21T02:15:48.216Z"
"道理","principle","","2024-03-15T03:49:59.867Z"
"凋落","decay; wither","","2023-08-24T05:39:17.926Z"
"作战","to fight a battle","","2024-03-15T03:49:52.966Z"
"拉倒","forget about it!","","2024-08-28T03:43:25.770Z"
"内饰","interior decor","","2024-08-22T03:09:49.797Z"
"好奇","Curious","","2024-01-23T03:15:59.056Z"
"配料","ingredients (in a cooking recipe)","","2024-08-23T12:54:55.279Z"
"清晨","Early morning","","2024-08-23T04:47:27.852Z"
"购物","Shopping","","2024-08-31T05:34:53.098Z"
"建立","set up","","2023-09-16T11:34:54.289Z"
"凄惨","miserable","","2024-08-21T04:08:15.844Z"
"客气","polite","","2024-09-01T15:55:35.551Z"
"敏感","sensitive","","2024-09-01T09:07:53.959Z"
"纪念","to commemorate","","2024-03-03T18:38:48.927Z"
"打雷","Thunder","","2024-09-02T11:25:18.356Z"
"项链","Necklace","","2024-08-29T07:22:40.806Z"
"化妆","Make-up","","2024-08-29T08:12:01.275Z"
"石榴","pomegranate","","2024-08-29T07:54:57.071Z"
"酒吧","bar","","2024-08-31T14:27:50.433Z"
"香油","sesame oil","","2024-09-01T10:56:09.624Z"
"一路平安","Have a safe journey","","2024-09-02T11:52:29.090Z"
"记性","memory (ability retain information)","","2024-08-19T08:35:37.351Z"
"舍不得","I can't bear to part with","","2024-05-22T22:10:58.294Z"
"交朋友","Make Friends","","2024-08-19T10:41:52.351Z"
"取消","Cancellation","","2024-08-20T02:29:29.338Z"
"导航","Navigation","","2024-08-19T09:37:22.147Z"
"所在","location","","2024-08-19T07:01:25.585Z"
"来得及","can make it in time","","2024-08-19T03:22:05.842Z"
"白天","Daytime","","2024-08-19T02:38:01.057Z"
"故宫","The Forbidden City","","2024-08-19T02:35:00.909Z"
"气质","Temperament","","2024-04-30T01:24:05.520Z"
"独立","independence","","2024-06-14T06:35:21.321Z"
